#expiry,strike,right,open,high,low,close,volume,open_interest
,,,3228,3238,3224,3232,900000,
20200107,3150,C,27.2,29.2,26.2,28.2,100,500
20200107,3150,P,10.8,12.8,9.8,11.8,100,500
20200107,3200,C,22.2,24.2,21.2,23.2,100,500
20200107,3200,P,15.8,17.8,14.8,16.8,100,500
20200107,3250,C,17.2,19.2,16.2,18.2,100,500
20200107,3250,P,20.8,22.8,19.8,21.8,100,500
20200107,3300,C,12.2,14.2,11.2,13.2,100,500
20200107,3300,P,25.8,27.8,24.8,26.8,100,500
20200107,3350,C,7.2,9.2,6.2,8.2,100,500
20200107,3350,P,30.8,32.8,29.8,31.8,100,500
