#expiry,strike,right,open,high,low,close,volume,open_interest
,,,3238,3248,3234,3242,900000,
20200117,3150,C,28.2,30.2,27.2,29.2,100,500
20200117,3150,P,9.8,11.8,8.8,10.8,100,500
20200117,3200,C,23.2,25.2,22.2,24.2,100,500
20200117,3200,P,14.8,16.8,13.8,15.8,100,500
20200117,3250,C,18.2,20.2,17.2,19.2,100,500
20200117,3250,P,19.8,21.8,18.8,20.8,100,500
20200117,3300,C,13.2,15.2,12.2,14.2,100,500
20200117,3300,P,24.8,26.8,23.8,25.8,100,500
20200117,3350,C,8.2,10.2,7.2,9.2,100,500
20200117,3350,P,29.8,31.8,28.8,30.8,100,500
